1.997559999999999945e+03 2.673234633768130641e-01
3.995119999999999891e+03 8.003374597968485049e-02
5.992680000000000291e+03 4.154228527677681498e-02
7.990239999999999782e+03 2.565649388332802774e-02
9.987799999999999272e+03 1.686017369127030402e-02
1.198536000000000058e+04 1.231753622004721702e-02
1.398292000000000007e+04 9.441428471994729732e-03
1.598047999999999956e+04 7.257468149291322786e-03
1.797804000000000087e+04 5.523739646960617623e-03
1.997559999999999854e+04 4.556077227055107745e-03
2.197315999999999985e+04 3.749691877133850236e-03
2.397072000000000116e+04 3.017225184288707240e-03
2.596827999999999884e+04 2.681231288488183061e-03
2.796584000000000015e+04 2.271318735611543502e-03
2.996340000000000146e+04 1.874845938566925118e-03
3.196095999999999913e+04 1.740448380246715316e-03
3.395851999999999680e+04 1.350695461118107303e-03
3.595608000000000175e+04 1.303656315706033840e-03
3.795363999999999942e+04 1.182698513217845214e-03
3.995119999999999709e+04 1.021421443233593495e-03
4.194876000000000204e+04 8.399847395013104474e-04
4.394631999999999971e+04 7.660660824251951757e-04
4.594387999999999738e+04 7.391865707611532587e-04
4.794144000000000233e+04 6.115088903569540447e-04
4.993900000000000000e+04 6.787076695170588371e-04
5.193655999999999767e+04 5.644697449448806900e-04
5.393412000000000262e+04 4.099125528766395048e-04
5.593168000000000029e+04 3.897529191286080671e-04
5.792923999999999796e+04 3.427137737165346582e-04
5.992680000000000291e+04 4.435119424566919010e-04
6.192436000000000058e+04 3.158342620524927412e-04
6.392191999999999825e+04 2.553553608083983738e-04
6.591947999999999593e+04 4.569516982887144858e-04
6.791703999999999360e+04 2.889547503884497943e-04
6.991460000000000582e+04 1.747168258162719453e-04
7.191216000000000349e+04 2.284758491443572429e-04
7.390971999999998661e+04 2.083162153963257239e-04
7.590727999999999884e+04 2.889547503884497943e-04
7.790484000000001106e+04 2.419156049763765751e-04
7.990239999999999418e+04 1.478373141522311938e-04
8.189995999999999185e+04 2.486354828923888162e-04
8.389752000000000407e+04 1.209578024881882875e-04
8.589508000000000175e+04 1.881565816482928767e-04
8.789263999999999942e+04 1.545571920682416731e-04
8.989019999999999709e+04 1.209578024881891414e-04
9.188775999999999476e+04 1.007981687401569040e-04
9.388532000000000698e+04 1.545571920682405889e-04
9.588288000000000466e+04 1.612770699842521794e-04
9.788043999999998778e+04 1.142379245721786215e-04
9.987800000000000000e+04 1.478373141522301096e-04
